timestep,day,hour_of_day,is_night,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_min_measured,v_max,v_mean,line_loading_max,p_loss_mw,converged,v_margin,severity,blackout,risk_score,p_load_lag_1,p_solar_lag_1,p_load_lag_2,p_solar_lag_2,p_load_lag_3,p_solar_lag_3
182,7,14,0,3.4466801606768205,2.333167997493156,3.110578665648499e-16,1.1135121631836642,0.1000000000000031,0.9533281474899287,0.9573482933687132,1.068878454217331,0.9949923066610923,31.092420148890305,0.2659202556979646,1,0.023328,NORMAL,0,0.16234296271187582,3.496273527882174,2.4625524203276057,3.49135246677837,2.574356689562772,3.5088738336705534,2.415045436004034
183,7,15,0,3.47192245123881,1.4651371526613368,2.578658150333142e-16,2.006785298577473,0.10000000000000257,0.9430896664257704,0.940676801348418,1.0194756484670184,0.9809042797741557,35.71502764195307,0.154529834291918,1,0.01309,NORMAL,0,0.34510909481231855,3.4466801606768205,2.333167997493156,3.496273527882174,2.4625524203276057,3.49135246677837,2.574356689562772
184,7,16,0,3.530350934333764,0.5959646269090664,2.1392455507248037e-16,2.9343863074246976,0.10000000000000213,0.9302886434794636,0.9262141244420818,1.0,0.9640312030388376,43.536481647309486,0.1327186778374257,1,0.000289,MODERATE,1,0.556545205952424,3.47192245123881,1.4651371526613368,3.4466801606768205,2.333167997493156,3.496273527882174,2.4625524203276057
185,7,17,0,3.5488665689350816,0.2425313344992626,1.7692138878967297e-16,3.306335234435819,0.10000000000000177,0.9245378536669725,0.9289013559529653,1.0,0.9563709377621963,47.39049055916256,0.15585365723875022,1,-0.005462,HIGH,1,0.5164736959195665,3.530350934333764,0.5959646269090664,3.47192245123881,1.4651371526613368,3.4466801606768205,2.333167997493156
186,7,18,0,3.66946212322815,0.0231682043952142,1.4685631618489194e-16,3.646293918832936,0.10000000000000146,0.916088077114,0.9046218762190678,1.0,0.9496748146137879,51.63732469107429,0.19405876113834328,1,-0.013912,CRITICAL,1,0.8209338770141196,3.5488665689350816,0.2425313344992626,3.530350934333764,0.5959646269090664,3.47192245123881,1.4651371526613368
187,7,19,0,3.654788303019041,0.0,1.2141663936546183e-16,3.654788303019041,0.10000000000000121,0.9146181658425124,0.9086439157646831,1.0,0.9493580541666894,51.68758973498222,0.1956623279530601,1,-0.015382,CRITICAL,1,0.7826820492433544,3.66946212322815,0.0231682043952142,3.5488665689350816,0.2425313344992626,3.530350934333764,0.5959646269090664
188,7,20,1,3.517543433081278,0.0,1.0060235833138266e-16,3.517543433081278,0.100000000000001,0.9180831641285436,0.9112298814078824,1.0,0.9514041009819606,49.63545621111552,0.1802033805544681,1,-0.011917,CRITICAL,1,0.7551382566601951,3.654788303019041,0.0,3.66946212322815,0.0231682043952142,3.5488665689350816,0.2425313344992626
189,7,21,1,3.404070985833344,0.0,8.32571241363167e-17,3.404070985833344,0.10000000000000084,0.9209302481014446,0.91928051048068,1.0,0.9530858827414633,47.9463020633611,0.1679709617479048,1,-0.00907,HIGH,1,0.65546954946723,3.517543433081278,0.0,3.654788303019041,0.0,3.66946212322815,0.0231682043952142
190,7,22,1,3.1200256425989803,0.0,6.93809367802639e-17,3.1200256425989803,0.1000000000000007,0.927988545656978,0.9277715211095642,1.0,0.9572575837865077,43.74714624974797,0.1394768945698395,1,-0.002011,HIGH,1,0.5333774712273749,3.404070985833344,0.0,3.517543433081278,0.0,3.654788303019041,0.0
191,7,23,1,2.6546149641196117,0.0,5.781744731688659e-17,2.6546149641196117,0.10000000000000057,0.9393504966790889,0.9386235381044287,1.0,0.9639798092763574,36.953475085791474,0.09911246375271976,1,0.00935,MODERATE,0,0.37345752652222075,3.1200256425989803,0.0,3.404070985833344,0.0,3.517543433081278,0.0
192,8,0,1,2.0801263072269376,0.0,4.7410306799847006e-17,2.0801263072269376,0.10000000000000048,0.9530482813229648,0.9546577255009626,1.0,0.9720951259763074,28.70787345448121,0.05952497717533926,1,0.023048,NORMAL,0,0.1855084635829964,2.6546149641196117,0.0,3.1200256425989803,0.0,3.404070985833344,0.0
193,8,1,1,1.7025706592571903,0.0,3.931586417548288e-17,1.7025706592571903,0.1000000000000004,0.9618659001213967,0.95793140661485,1.0,0.9773254547340376,23.368468388054932,0.03931973209050846,1,0.031866,NORMAL,0,0.15764121198719658,2.0801263072269376,0.0,2.6546149641196117,0.0,3.1200256425989803,0.0
194,8,2,1,1.5942370720447985,0.0,3.237777049745649e-17,1.5942370720447985,0.10000000000000032,0.9643701665156872,0.9615970318668176,1.0,0.9788117893973693,21.84758923092899,0.034338159521622204,1,0.03437,NORMAL,0,0.13058208268901347,1.7025706592571903,0.0,2.0801263072269376,0.0,2.6546149641196117,0.0
195,8,3,1,1.572395551515564,0.0,2.6596025765767832e-17,1.572395551515564,0.10000000000000027,0.9648736963787481,0.9670575086601894,1.0,0.9791106918175779,21.54155135738401,0.03337702579138665,1,0.034874,NORMAL,0,0.09766430142655255,1.5942370720447985,0.0,1.7025706592571903,0.0,2.0801263072269376,0.0
196,8,4,1,1.5870173254917652,0.0,2.19706299804169e-17,1.5870173254917652,0.10000000000000023,0.9645366594540263,0.9720055071622749,1.0,0.9789106202170341,21.746406081426866,0.03401885775640123,1,0.034537,NORMAL,0,0.07444517433430424,1.572395551515564,0.0,1.5942370720447985,0.0,1.7025706592571903,0.0
197,8,5,1,1.790577725266688,0.0,1.850158314140371e-17,1.790577725266688,0.10000000000000019,0.9598231391099025,0.9652712035476211,1.0,0.97611332161536,24.607614634156917,0.04363147995039243,1,0.029823,NORMAL,0,0.10752527930459228,1.5870173254917652,0.0,1.572395551515564,0.0,1.5942370720447985,0.0
198,8,6,0,2.274630479023882,0.1568922063915169,1.5032536302390512e-17,2.1177382726323652,0.10000000000000016,0.9528680847871526,0.9530330900470447,1.0,0.9727036827784006,29.830811386169398,0.061119985153417114,1,0.022868,NORMAL,0,0.20069032463345926,1.790577725266688,0.0,1.5870173254917652,0.0,1.572395551515564,0.0
199,8,7,0,2.690835647543242,0.5897829949244625,1.271983840971505e-17,2.1010526526187796,0.10000000000000013,0.9495980799394061,0.9473534619672069,1.0,0.975663847395846,31.580590215709147,0.07324673116666114,1,0.019598,NORMAL,0,0.26091703113624365,2.274630479023882,0.1568922063915169,1.790577725266688,0.0,1.5870173254917652,0.0
200,8,8,0,2.8745705527201904,1.564811171346211,1.0407140517039587e-17,1.3097593813739794,0.1000000000000001,0.9577141822518441,0.9616482235696507,1.0380219380554816,0.990570128593722,27.126780639929727,0.13660437323593627,1,0.027714,NORMAL,0,0.13023376930563854,2.690835647543242,0.5897829949244625,2.274630479023882,0.1568922063915169,1.790577725266688,0.0
201,8,9,0,3.3927118783776926,2.02162530143926,8.094442624364123e-18,1.3710865769384326,0.10000000000000009,0.9512435708211998,0.9523628402426431,1.0531415914231192,0.9909940956075467,31.61155459597009,0.21468427957762903,1,0.021244,NORMAL,0,0.20721906529377082,2.8745705527201904,1.564811171346211,2.690835647543242,0.5897829949244625,2.274630479023882,0.1568922063915169
202,8,10,0,3.4329991128463035,2.142912928704706,6.9380936780263914e-18,1.2900861841415976,0.10000000000000007,0.9516426096754054,0.9469525505132084,1.0589532679932845,0.9923219143782623,31.616316034013835,0.23441288170706956,1,0.021643,NORMAL,0,0.26558232647102037,3.3927118783776926,2.02162530143926,2.8745705527201904,1.564811171346211,2.690835647543242,0.5897829949244625
